Tweets_name,Tweets_url,Tweets_twitterhandle,Tweets_twitterhandle_url,Tweets_tweet,Tweets_replies,Tweets_retweets,Tweets_likes,Tweets_Dateoftweet,Tweets_Dateoftweet_url,Tweets_Verified,Tweets_Verified_url
Rohit Jaiswal,https://twitter.com/rohitjswl01,rohitjswl01,https://twitter.com/rohitjswl01,17.50-18cr hai aaj #BadrinathKiDulhania... Congratulations to all @Varun_dvn nd @aliaa08 fans...,"Reply
3","Retweet
47","Like
87",11 Mar 2017,https://twitter.com/rohitjswl01/status/840813807450619904,Verified account,https://twitter.com/rohitjswl01
BadrinathKiDulhania,https://twitter.com/BKDMovie,BKDMovie,https://twitter.com/BKDMovie,How gorgeous does that look? @aliaa08 #BadrinathKiDulhania,"Reply
3","Retweet
91","Like
342",11 Mar 2017,https://twitter.com/BKDMovie/status/840805396524675072,,
Indicine.com,https://twitter.com/indicine,indicine,https://twitter.com/indicine,"#BadrinathKiDulhania is showing excellent trend, big jump in business on Saturday. Sunday morning shows better than first two days.","Reply
5","Retweet
69","Like
150",11 Mar 2017,https://twitter.com/indicine/status/840801568991653888,,
Faridoon Shahryar,https://twitter.com/iFaridoon,iFaridoon,https://twitter.com/iFaridoon,So #BadrinathKiDulhania is rocking the box office and @Varun_dvn and @aliaa08 set #ZeeCineAwards2017 on fire last night...,"Reply
1","Retweet
47","Like
146",11 Mar 2017,https://twitter.com/iFaridoon/status/840778629348904960,Verified account,https://twitter.com/iFaridoon
Shaad Randhawa,https://twitter.com/Shaadrandhawa,Shaadrandhawa,https://twitter.com/Shaadrandhawa,"@Varun_dvn u were amazing as Badri ! The accent, the expressions , d walk , d smallest of nuisances.Simply Brilliant! #BadrinathKiDulhania","Reply
6","Retweet
75","Like
146",11 Mar 2017,https://twitter.com/Shaadrandhawa/status/840776567823437828,Verified account,https://twitter.com/Shaadrandhawa
Ranbir Kapoor Fan Club,https://twitter.com/RanbirKapoorFC,RanbirKapoorFC,https://twitter.com/RanbirKapoorFC,Ranbir Kapoor at the screening of #BadrinathKiDulhania,"Reply
10","Retweet
135","Like
395",11 Mar 2017,https://twitter.com/RanbirKapoorFC/status/840690692418592768,,
Subrat Saurabh,https://twitter.com/ChickenBiryanii,ChickenBiryanii,https://twitter.com/ChickenBiryanii,"Dear @ArvindKejriwal
As you are free, Can you please share the review of #BadrinathKiDulhania
Dekhu ki naa Dekhu?","Reply
6","Retweet
68","Like
130",11 Mar 2017,https://twitter.com/ChickenBiryanii/status/840565137442451456,,
Movified Bollywood,https://twitter.com/MovifiedBolly,MovifiedBolly,https://twitter.com/MovifiedBolly,Here's why #BadrinathKiDulhania is perfect medium to bring about much needed change @Varun_dvn @aliaa08 @BKDMovie https://www.movified.com/heres-why-badrinath-ki-dulhania-is-the-perfect-medium-to-bring-about-much-needed-change …,Reply,"Retweet
57","Like
161",11 Mar 2017,https://twitter.com/MovifiedBolly/status/840564946610073600,,
Chintan Shah,https://twitter.com/ckshah7,ckshah7,https://twitter.com/ckshah7,Just watched #BadrinathKiDulhania ! Loved it! @Varun_dvn It's amazing to see u grow so much as an actor! Keep entertaining us! Best wishes!,"Reply
1","Retweet
63","Like
196",11 Mar 2017,https://twitter.com/ckshah7/status/840564852728840192,,
Rajat Arora,https://twitter.com/rajatsaroraa,rajatsaroraa,https://twitter.com/rajatsaroraa,"#BadrinathKiDulhania Full masti, naach, gana! Conveys a social msg more effectively than many others! @aliaa08 @Varun_dvn @karanjohar","Reply
2","Retweet
79","Like
145",11 Mar 2017,https://twitter.com/rajatsaroraa/status/840564587187462148,Verified account,https://twitter.com/rajatsaroraa
SANIKA.,https://twitter.com/SANIKA_KOKATE,SANIKA_KOKATE,https://twitter.com/SANIKA_KOKATE,Just saw #BadrinathKiDulhania Varun you've evolved so much as an actor Totally in love with the entire movie just so perfect @Varun_dvn,"Reply
6","Retweet
56","Like
121",11 Mar 2017,https://twitter.com/SANIKA_KOKATE/status/840539597813796864,,
Dreamboy Varun,https://twitter.com/Varun_Dreamboy,Varun_Dreamboy,https://twitter.com/Varun_Dreamboy,"Female fans gathered in a huge number to watch #BadrinathKiDulhania
.
.
.
WATCH BKD IN CINEMAS
@Varun_dvn @aliaa08","Reply
4","Retweet
65","Like
227",11 Mar 2017,https://twitter.com/Varun_Dreamboy/status/840506954862776320,,
Bollywood Hungama,https://twitter.com/Bollyhungama,Bollyhungama,https://twitter.com/Bollyhungama,#BoxOffice: @Varun_dvn & @aliaa08 's #BadrinathKiDulhania becomes 3rd highest opening day grosser of 2017,"Reply
1","Retweet
57","Like
159",11 Mar 2017,https://twitter.com/Bollyhungama/status/840502603553288192,Verified account,https://twitter.com/Bollyhungama
FilmyGalaxy.com,https://twitter.com/FilmyGalaxy,FilmyGalaxy,https://twitter.com/FilmyGalaxy,"https://goo.gl/zxZs8i
. @Varun_dvn's BB opening day figures from (12-17) prove he will rule Bollywood for a long time
#BadrinathKiDulhania","Reply
1","Retweet
44","Like
78",11 Mar 2017,https://twitter.com/FilmyGalaxy/status/840478391270817792,,
ETC Bollywood,https://twitter.com/ETCBollywood,ETCBollywood,https://twitter.com/ETCBollywood,#BadrinathKiDulhania is off to a good start collecting 12.25 cr on its first day. Are you planning to watch it this weekend?,"Reply
6","Retweet
49","Like
208",10 Mar 2017,https://twitter.com/ETCBollywood/status/840460830256775168,Verified account,https://twitter.com/ETCBollywood
Indicine.com,https://twitter.com/indicine,indicine,https://twitter.com/indicine,#BadrinathKiDulhania collects Rs 12.25 crore on Day 1. Excellent start considering dull period due to exams.,"Reply
14","Retweet
77","Like
137",10 Mar 2017,https://twitter.com/indicine/status/840451133063778304,,
Bollywood Hungama,https://twitter.com/Bollyhungama,Bollyhungama,https://twitter.com/Bollyhungama,#BoxOffice @Varun_dvn & @aliaa08 's #BadrinathKiDulhania has an IMPRESSIVE Day 1 collects Rs. 12.25 cr on Friday,"Reply
5","Retweet
60","Like
196",10 Mar 2017,https://twitter.com/Bollyhungama/status/840447815998304256,Verified account,https://twitter.com/Bollyhungama
taran adarsh,https://twitter.com/taran_adarsh,taran_adarsh,https://twitter.com/taran_adarsh,#BadrinathKiDulhania has an IMPRESSIVE Day 1... Biz likely to multiply over weekend... Strong word of mouth... Fri ₹ 12.25 cr. India biz.,"Reply
94","Retweet
579","Like
2.3K",10 Mar 2017,https://twitter.com/taran_adarsh/status/840447488091815937,Verified account,https://twitter.com/taran_adarsh
Sumit M kadel,https://twitter.com/SumitkadeI,SumitkadeI,https://twitter.com/SumitkadeI,#BadrinathKiDulhania took bigger opening than #JollyLLB2 . Shows the star power of @Varun_dvn & @aliaa08 . Congratulations @DharmaMovies,"Reply
5","Retweet
49","Like
115",10 Mar 2017,https://twitter.com/SumitkadeI/status/840422148598595584,Verified account,https://twitter.com/SumitkadeI
BadrinathKiDulhania,https://twitter.com/BKDMovie,BKDMovie,https://twitter.com/BKDMovie,Hope you have a Badri-fied weekend ahead! Book your tickets for #BadrinathKiDulhania now: http://m.p-y.tm/tbkdm @Varun_dvn @aliaa08,"Reply
8","Retweet
129","Like
541",10 Mar 2017,https://twitter.com/BKDMovie/status/840413229864050688,,
Prabal Gurung,https://twitter.com/prabalgurung,prabalgurung,https://twitter.com/prabalgurung,My masala cravings satisfied w #BadrinathKiDulhania entertainment Really enjoyed it @Varun_dvn @aliaa08 lots of from NY xPG.,"Reply
4","Retweet
69","Like
172",10 Mar 2017,https://twitter.com/prabalgurung/status/840363563109797888,Verified account,https://twitter.com/prabalgurung
Girish Johar,https://twitter.com/girishjohar,girishjohar,https://twitter.com/girishjohar,#BadrinathKiDulhania is POISED TO BE 2nd Highest opener of the year !!! @Varun_dvn @aliaa08 @karanjohar .. breaking traditions,"Reply
7","Retweet
75","Like
156",10 Mar 2017,https://twitter.com/girishjohar/status/840323207680925696,Verified account,https://twitter.com/girishjohar
"simplypurple
⚡",https://twitter.com/4simplypurple,4simplypurple,https://twitter.com/4simplypurple,The role may have been small but @GAUAHAR_KHAN doesn't fail to impress. She suited the role of the officer perfectly! #BadrinathKiDulhania,"Reply
5","Retweet
54","Like
234",10 Mar 2017,https://twitter.com/4simplypurple/status/840301853741076480,,
"simplypurple
⚡",https://twitter.com/4simplypurple,4simplypurple,https://twitter.com/4simplypurple,That beautiful moment when @GAUAHAR_KHAN's name appears on the big screen! #BadrinathKiDulhania,"Reply
5","Retweet
50","Like
366",10 Mar 2017,https://twitter.com/4simplypurple/status/840300309436063745,,
BadrinathKiDulhania,https://twitter.com/BKDMovie,BKDMovie,https://twitter.com/BKDMovie,"Check it out! Badri getting ready for the big night & after the #BadrinathKiDulhania craze today, this will be ! @Varun_dvn","Reply
13","Retweet
116","Like
335",10 Mar 2017,https://twitter.com/BKDMovie/status/840263251086602240,,
Vivek Nayer,https://twitter.com/Vivek_Nayer,Vivek_Nayer,https://twitter.com/Vivek_Nayer,Among the comic capers of #BadrinathKiDulhania lies a hidden gem about self esteem & determination. Go watch..& then say Happy Women's Day !,Reply,"Retweet
53","Like
123",10 Mar 2017,https://twitter.com/Vivek_Nayer/status/840258116784541697,,
Arshad E Khan,https://twitter.com/Arshadtweet,Arshadtweet,https://twitter.com/Arshadtweet,With #BadrinathKiDulhania @Varun_dvn has arrived on his own. @aliaa08 super acting. You guys rock. Should do great at #BoxOffice,"Reply
1","Retweet
42","Like
88",10 Mar 2017,https://twitter.com/Arshadtweet/status/840257020305506304,,
Indian Boxoffice,https://twitter.com/TradeBOC,TradeBOC,https://twitter.com/TradeBOC,Varun Dhawan's #BadrinathKiDulhania is the second best opening this year in some of the places behind #Raees .,"Reply
1","Retweet
43","Like
82",10 Mar 2017,https://twitter.com/TradeBOC/status/840252695155941376,,
